population,Population,site,,percent.sm,N,P,K,xK,Na,xNA,Ca,Mg,cec,om,ph,ca_mg,productivity,pca1,pca2,lat,long,similarity_to_V6,pca1.new,pca2.new
V1,1,1,NA,13.9,2.31,2.6,94,0.24,8,0.03,3.58,23.15,27,3.09,6.76,0.154643629,10.54166667,0.595035444,-0.010380764,38.86613,-122.45039,134.8849722,0.998031692,-0.580628553
V2,2,2,a,12.3,4.35,4.5,164,0.42,6,0.02,3.2,19.51,23.2,3.8,6.82,0.164018452,6.131666667,-0.238551554,-0.425986976,38.86695,-122.44996,77.86780988,0.01808992,-1.344772139
V3,3,3,s,15.2,14.35,6.2,197,0.5,4,0.02,3.75,19.02,23.3,3.82,7.21,0.197160883,40.05,-1.441396414,-0.241245172,38.86735,-122.45077,138.8741909,-1.360643448,-1.408400536
V4,4,4,a,15,0.69,1.3,57,0.15,6,0.03,2.15,18.22,20.5,2.19,6.98,0.118002195,2.964666667,2.771595745,0.309599837,38.86522,-122.45133,400.0549274,3.462174371,-0.122530825
V5,5,5,a,14.3,3.45,3.7,273,0.7,12,0.05,4.92,28.04,33.7,3.6,6.95,0.175463623,15.305,-1.225305396,1.299881016,38.86552,-122.45204,54.71881144,-1.984771617,1.165480694
V6,6,6,s,12.8,4.54,3.9,149,0.38,8,0.04,3.37,19.19,23,3.9,7.11,0.175612298,36.325,0.300075803,0.969449133,38.86806,-122.42847,0,0.465927795,0.551670049
V7,7,7,NA,21.6,1.94,5.6,206,0.53,9,0.04,5.48,23.28,29.3,3.65,7.07,0.235395189,39.66333333,-0.010707417,2.154090826,38.86866,-122.42805,290.6714957,-0.865397469,2.259490249
V8,8,8,NA,14.3,7.45,3.2,198,0.51,7,0.03,3.98,28.18,32.7,4.63,6.98,0.141234918,28.115,-1.135246547,1.360688287,38.86931,-122.42755,216.5667794,-1.800980123,0.920378701
V9,9,9,a,27.7,4.93,4.5,89,0.23,9,0.04,1.39,22.38,24,4.3,7.46,0.062109026,40.78833333,-0.549199019,3.280415116,38.86816,-122.42667,1015.351549,-0.132652585,2.057331207
V10,10,10,a,19.8,3.43,4,316,0.81,10,0.04,2.75,36.16,39.8,3.84,7.18,0.076050885,22.21833333,-1.96516837,2.744035408,38.86744,-122.42684,819.1265737,-2.581833286,2.265336949
V11,11,11,s,14.1,3.55,4.1,258,0.66,9,0.04,3.66,27.53,31.9,4.03,6.79,0.132945877,17.86833333,-0.617592571,1.675367561,38.85718612,-122.4039702,276.9911551,-0.892099859,1.563400449
V12,12,12,NA,14.8,3.29,3,172,0.44,11,0.05,5.8,22.8,29.1,4.23,6.55,0.254385965,37.69333333,-0.342743474,0.664067928,38.86428,-122.4174,362.9753194,-0.735092506,0.873098296
V13,13,13,s,12,3.62,5,199,0.51,8,0.03,3.08,20.88,24.5,3.89,6.75,0.147509579,28.71333333,0.135816881,0.719602528,38.86488,-122.41844,174.4364953,0.275332524,0.336320009
V14,14,14,NA,20.9,3.38,3.4,199,0.51,9,0.04,2.61,22.58,25.7,3.88,6.64,0.115589017,26.74166667,-1.056891728,0.82470475,38.86407,-122.41884,411.3691832,-0.572762695,0.101330089
V15,15,15,s,17.3,3.27,8.1,279,0.71,10,0.05,4.05,28.1,32.9,4.36,6.58,0.144128114,39.73833333,-1.959693158,1.674899784,38.86369,-122.41935,200.9005128,-2.576149494,1.402267614
V16,16,16,a,11.3,2.56,2.1,193,0.49,6,0.03,3.04,24.53,28.1,3.13,6.55,0.123929882,17.57333333,-0.359084972,-1.940555736,38.82822,-122.37528,349.5240428,-0.185842718,-1.462390096
V17,17,17,a,8.9,2.8,3,267,0.68,5,0.02,3.92,22.11,26.7,3.5,6.75,0.177295341,31.84833333,-0.53616318,-2.425960684,38.82862,-122.37601,85.36910076,-0.78340572,-1.787578629
V18,18,18,s,11.9,3.07,1.9,112,0.29,8,0.03,3.75,21.93,26,3.95,7.01,0.170998632,18.145,0.730271506,-0.752056053,38.82711,-122.37717,63.09021376,0.17900499,0.099035212
V19,19,19,a,8.8,2.99,2.5,159,0.41,6,0.03,3.58,22.52,26.5,3.7,6.74,0.158969805,6.555883333,0.082248114,-1.565603616,38.82626,-122.3774,114.6123176,0.519204801,-1.230321515
V20,20,20,a,9.4,4.43,2.2,171,0.44,8,0.03,5.25,24.42,30.1,4.03,6.49,0.214987715,9.88835,-0.677810092,-1.856205679,38.82709,-122.37801,209.6481516,-0.926567945,-1.299669947
V21,21,21,NA,9,2.55,6.8,252,0.65,6,0.03,2.62,16.27,19.6,4.13,6.69,0.161032575,50.12166667,-1.215107332,-2.740309401,38.82455,-122.34362,123.5406844,-0.297459588,-2.570922191
V22,22,22,NA,10.6,5.95,7.6,190,0.48,7,0.03,3.43,22.22,26.2,4.92,6.65,0.154365437,45.33,-2.367311976,-2.239187441,38.8245,-122.34255,150.4666431,-2.520150206,-2.069275146
V23,23,23,a,19.8,5,6.8,374,0.96,10,0.04,2.06,35.24,38.3,4.21,7.47,0.0584563,41.69142857,-3.614552074,0.873155087,38.82355,-122.34406,1077.529947,-3.927839224,0.961394259
V24,24,24,NA,7.7,2.47,14.1,280,0.72,9,0.04,4.27,18.7,23.7,4.7,6.6,0.228342246,38.36666667,-1.631165379,-1.62584825,38.82365,-122.34482,269.8347723,-1.665344454,-1.102262494
V25,25,25,s,8.3,1.78,8.7,200,0.51,52,0.023,4.1,18.68,23.5,4.08,6.67,0.219486081,32.8075,-0.162597182,-2.050950788,38.82398,-122.34545,228.5220735,-0.17694343,-1.39521996
V26,26,26,a,16.3,0.9,1,35,0.09,15,0.07,10.28,11.39,21.8,1.49,7.8,0.902546093,13.28833333,5.449606366,2.044327907,38.86242,-122.36301,1600.226193,4.370808607,4.2360858
V27,27,27,a,8,2.22,2.2,38,0.1,5,0.02,1.87,11.58,13.6,2.08,7.04,0.16148532,13.94833333,3.741640552,-0.913837833,38.86248,-122.36203,113.683347,4.903620409,-0.86477441
V28,28,28,NA,10.6,3.28,2.1,54,0.14,5,0.02,1.97,14.32,16.4,2.48,6.98,0.137569832,4.051166667,2.223783874,-1.38073101,38.86323,-122.36228,246.792129,3.186144933,-1.546317561
V29,29,29,a,8.7,2.36,2.2,50,0.13,4,0.02,3.3,9.89,13.3,2.48,7.22,0.333670374,17.08166667,4.201383387,-0.371481847,38.86491,-122.36139,631.6042538,4.329524395,0.208890134
V30,30,30,NA,11.3,2.63,3.9,113,0.29,5,0.02,1.88,19.55,21.7,4.38,7.15,0.096163683,42.405,0.874830163,-0.053943918,38.86447,-122.36251,590.0429055,1.27807193,-0.216445706
VS2,S2,S2,s,,,,,,,,,,,,,,,,,38.8471696,-122.3772029,,,
VS31,S31,S31,a,,,,,,,,,,,,,,,,,38.82897697,-122.3759134,,,
VS33,S33,S33,a,,,,,,,,,,,,,,,,,38.86575465,-122.3612807,,,
